listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
16042394,"Bassura City 2 Bedrooms, above Mall, Free WIFI",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3ce5b189-81f4-4333-bb0d-18999de57711.jpg,24,24097188,Mario,180249169,Sriwijanti,false,-6.2231,106.8770,4,2,2,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Hot water,Gym,Body soap,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Hot tub,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker",false,false,2,Moderate,IDR,7,0,70,4.87,4.8,4.9,4.7,5.0,4.8,4.8,1176.0,1.8615431E7,21.5,349117.0,0.159,0.0,3.2,51001.2,0.0,0.0,58,0,307,365,129.0,2111561.0,23.6,386119.4,0.067,0.0,1.4,23461.8,0.0,0.0,6,0,84,90
16099207,808 Sqft: 2 Bedrooms Seaside Condo w/ Oceanview.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/9a55e6f1-5696-4eda-93a5-e5e84d6f03dc.jpg,50,104944508,Joshua,"","",false,-6.1082,106.7823,5,2,3,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Hot water,Gym,Mini fridge,Elevator,Bed linens,Ethernet connection,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Sauna,Paid parking on premises,Stove,Single level home,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Private entrance,Rice maker",false,false,2,Flexible,IDR,20,0,63,4.67,4.6,4.8,4.7,4.8,4.7,4.6,1124.0,1.8207057E7,59.7,969885.7,0.052,0.059,3.1,49882.3,3.5,56368.6,19,42,346,365,516.0,8446249.0,61.3,1003583.2,0.1,0.0,5.7,93847.2,0.0,0.0,9,0,81,90
16101165,Thamrin Residence Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b16ca414-f567-402c-9102-6a02a566879c.jpg,10,104962590,Grace,"","",true,-6.1936,106.8200,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Gym,Hot tub,Refrigerator,Dishes and silverware,Cooking basics,Stove,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",true,,2,Strict,IDR,9,0,101,4.84,4.9,4.9,4.7,4.9,4.9,4.8,4046.0,6.6124079E7,32.2,522238.5,0.348,0.481,11.1,181161.9,15.3,250470.0,127,101,238,365,262.0,4288599.0,33.4,546350.9,0.089,0.267,2.9,47651.1,8.7,142953.3,8,60,82,90
16122593,ZEAL HOME Cozy & Stylish Apt with Lake & City View,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTYxMjI1OTM%3D/original/cdffd662-98a7-4167-a47f-4df08651d8f8.jpeg,57,22139814,Evan,"","",false,-6.1945,106.8176,3,1,2,1.0,false,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water,Gym,Elevator,Bed linens,Laundromat nearby,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Single level home,Smoke alarm,Exercise equipment,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Outdoor playground,Hair dryer,Iron,Dedicated workspace,Private entrance",true,,2,Firm,IDR,0,0,329,4.79,4.8,4.9,4.6,5.0,4.9,4.7,7828.0,1.27558858E8,37.6,610724.6,0.575,0.0,21.4,349476.3,0.0,0.0,210,0,155,365,2452.0,4.0136054E7,41.2,674390.5,0.689,0.0,27.2,445956.2,0.0,0.0,62,0,28,90
16124643,Designer flat: private 1BR pool gym near JIExpo,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9cc57134-ab04-4a71-b6aa-ea140836b95b.jpg,39,8012188,Aidy,492453635,Erni,true,-6.1502,106.8501,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Gym,Mini fridge,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Theme room,Dedicated workspace,Freezer,Sound system,Rice maker,Children’s books and toys,Blender,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Exercise equipment,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",true,false,3,Moderate,IDR,6,0,69,4.9,4.9,4.9,4.8,5.0,4.9,4.8,2043.0,3.3351219E7,31.5,512199.2,0.184,0.0,5.6,91373.2,0.0,0.0,67,0,298,365,1115.0,1.8251102E7,30.5,499063.4,0.422,0.0,12.4,202790.0,0.0,0.0,38,0,52,90
16278476,"3BR Apt Mediterania Gajah Mada Apartement, 69m2",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-16278476/original/e6c3d81c-fd26-41ae-a30d-751db8e36a78.jpeg,6,64924256,Calissta,"","",false,-6.1496,106.8163,5,3,3,2.0,false,"Stove,TV,Cable TV,Smoke alarm,Air conditioning,Pool,Kitchen,Long term stays allowed,Hot water kettle,Paid parking off premises,Lock on bedroom door,Dining table,Hot water,Freezer,Elevator,Bed linens,Refrigerator,Rice maker,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage",false,false,2,Firm,IDR,4,0,14,4.14,4.3,4.1,4.0,4.4,4.2,4.0,2833.0,4.5656035E7,42.9,697285.1,0.178,0.0,7.8,125085.0,0.0,0.0,65,0,300,365,0.0,0.0,43.1,706218.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
16318465,Rumah Bagus Cempaka Putih,Private room in home,private_room,https://a0.muscache.com/im/pictures/f3e6b8c2-149e-4da5-9a9e-3164ef044725.jpg,10,98700237,Sri Kwartiwardhani,"","",true,-6.1766,106.8606,,4,4,0.0,false,"TV,Washer,Wifi,Patio or balcony,Air conditioning,Backyard,Kitchen,Essentials,Free parking on premises,Bed linens,Refrigerator,Dishes and silverware,Cooking basics",false,,1,Flexible,IDR,0,0,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,487.0,7971556.0,32.7,530711.0,0.041,0.0,1.3,21839.9,0.0,0.0,15,0,350,365,421.0,6891222.0,31.8,520524.6,0.144,0.0,4.7,76569.1,0.0,0.0,13,0,77,90
16326919,Cozy 2BR 89SqFt Condo Near Airpt 2Min Walk to Mall,Entire condo,entire_home,https://a0.muscache.com/im/pictures/51aa0a6d-33d5-44ac-8697-c7c2d659659c.jpg,32,106865991,Kevin,"","",false,-6.1127,106.7806,5,2,3,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Elevator,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Stove,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,1,Firm,IDR,7,0,178,4.71,4.8,4.7,4.5,4.8,4.7,4.7,6217.0,1.006007E8,38.1,618860.8,0.444,0.446,17.0,275618.4,17.1,277136.9,162,2,203,365,1202.0,1.9675179E7,39.3,643653.7,0.344,0.0,13.4,218613.1,0.0,0.0,31,0,59,90
16359052,Stay at Central Jakarta with Amazing City View,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-16359052/original/88d31e8c-db2c-4c2b-96a0-727c1f88ff00.png,43,105103005,Queen Jean,705560976,Frank,false,-6.2058,106.8179,6,2,7,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Smoking allowed,Hot water,Gym,Body soap,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Dining table,Dedicated workspace,Private entrance",false,false,1,Strict,IDR,0,0,268,4.81,4.8,4.8,4.7,4.9,4.9,4.7,3671.0,5.9683902E7,51.8,841752.7,0.197,0.0,10.1,163517.5,0.0,0.0,72,0,293,365,345.0,5647201.0,55.0,899732.9,0.067,0.0,3.8,62746.7,0.0,0.0,6,0,84,90
16373854,2BR Modern Luxury Condo in Casablanca Jakarta,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-16373854/original/340b09e2-00c1-49c4-93d1-37804c01a2ba.jpeg,34,80933290,Adriel Timothy,56343130,Rizalvo Fredrick,true,-6.2237,106.8396,4,2,2,2.0,false,"TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Hot water,Gym,Body soap,Elevator,Bed linens,Extra pillows and blankets,Hot tub,Refrigerator,Dishes and silverware,Smoke alarm,Carbon monoxide alarm,Backyard,Fire extinguisher,Bidet,Hangers,Hair dryer,Iron,Dedicated workspace,Mini golf",false,false,1,Flexible,IDR,0,9,6,5.0,5.0,4.5,5.0,4.8,4.5,5.0,3424.0,5.6383394E7,77.8,1264104.1,0.126,0.17,9.4,154475.1,12.7,208827.4,46,95,319,365,0.0,0.0,80.7,1320408.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
