listing_id;listing_name;listing_type;room_type;cover_photo_url;photos_count;host_id;host_name;cohost_ids;cohost_names;superhost;latitude;longitude;guests;bedrooms;beds;baths;registration;amenities;instant_book;professional_management;min_nights;cancellation_policy;currency;cleaning_fee;extra_guest_fee;num_reviews;rating_overall;rating_accuracy;rating_checkin;rating_cleanliness;rating_communication;rating_location;rating_value;ttm_revenue;ttm_revenue_native;ttm_avg_rate;ttm_avg_rate_native;ttm_occupancy;ttm_adjusted_occupancy;ttm_revpar;ttm_revpar_native;ttm_adjusted_revpar;ttm_adjusted_revpar_native;ttm_reserved_days;ttm_blocked_days;ttm_available_days;ttm_total_days;l90d_revenue;l90d_revenue_native;l90d_avg_rate;l90d_avg_rate_native;l90d_occupancy;l90d_adjusted_occupancy;l90d_revpar;l90d_revpar_native;l90d_adjusted_revpar;l90d_adjusted_revpar_native;l90d_reserved_days;l90d_blocked_days;l90d_available_days;l90d_total_days
12533874;Family friendly 2 BR in Kemang Village Residence;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/37c9c34c-76ba-4179-b60f-41d5ada57b6f.jpg;17;66842829;Hafiizh;461101;Kurnia;TRUE;-62.570;1.068.094;5;2;2;2.0;FALSE;TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Books and reading material,Hot water,Gym,Elevator,Hot tub,Microwave,Refrigerator,Cooking basics,Paid parking on premises,Stove,Washer,EV charger,Smoke alarm,Carbon monoxide alarm,Essentials,Hangers,Dining table,Iron,Toaster,Bathtub;FALSE;FALSE;3;Moderate;IDR;23;0;72;4.82;4.9;4.9;4.7;4.9;5.0;4.8;9293.0;1,50E+16;51.8;842474.0;0.485;0.0;25.5;410610.8;0.0;0.0;177;0;188;365;2949.0;4,83E+14;61.9;1012677.0;0.533;0.0;32.8;536347.7;0.0;0.0;48;0;42;90
12575863;Adm. Semanggi ,  stay in the HEART of the CITY;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTI1NzU4NjM=/original/e191ff24-da3d-434b-bd29-2488a6679a90.jpeg;23;68198022;Endang;;;TRUE;-62.254;1.068.195;1;;1;1.0;FALSE;TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Portable fans,Hot water,Gym,Body soap,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Cleaning products,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Coffee,Clothing storage,Stove,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Sun loungers,Toaster,Rice maker;FALSE;FALSE;3;Flexible;IDR;0;0;171;4.95;5.0;5.0;4.9;5.0;4.9;4.9;7629.0;1,24E+16;25.2;409762.3;0.83;0.835;20.9;339795.3;21.0;341667.4;303;2;62;365;1893.0;3,10E+14;26.7;436498.7;0.789;0.807;21.0;344288.3;21.5;352113.1;71;2;19;90
12855114;Great Value in Central Jakarta;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/8c25f52d-43e5-48c1-bd41-fcd00b87bbd9.jpg;43;62061079;Reza;;;TRUE;-61.928;1.068.143;2;2;1;1.0;FALSE;High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Hot water,Gym,Mini fridge,Elevator,Bed linens,Laundromat nearby,Hot tub,Microwave,Coffee maker,Refrigerator,Cooking basics,Paid parking on premises,Clothing storage,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Toaster,Rice maker;TRUE;FALSE;2;Strict;IDR;;;314;4.9;4.9;5.0;4.8;5.0;4.9;4.9;903.0;1,40E+14;22.4;363266.5;0.112;0.0;2.5;38365.0;0.0;0.0;41;0;324;365;0.0;0.0;23.8;389939.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;90;90
12936368;Clean Hygiene 2-BR apartment at great location;Entire condo;entire_home;https://a0.muscache.com/im/pictures/miso/Hosting-12936368/original/a9b04846-e6cd-460d-85a5-5f21a0405395.jpeg;12;51136561;Hendy;;;TRUE;-61.027;1.067.410;4;2;3;1.0;FALSE;TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Gym,Body soap,Resort access,Elevator,Bed linens,Laundromat nearby,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Sauna,Paid parking on premises,Clothing storage,Washer,Single level home,Smoke alarm,Shower gel,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Freezer,Private entrance;FALSE;FALSE;2;Firm;IDR;17;0;42;4.95;5.0;5.0;5.0;5.0;5.0;4.9;6866.0;1,12E+16;66.5;1080664.5;0.288;0.0;18.8;305910.6;0.0;0.0;105;0;260;365;1678.0;2,75E+14;72.3;1184002.7;0.256;0.0;18.6;305185.4;0.0;0.0;23;0;67;90
12968874;Tamansari Semanggi Apartment;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/4c66eacc-3c24-4f94-8c91-f30420cd02e0.jpg;23;54658547;M A;;;FALSE;-62.242;1.068.206;4;2;2;1.5;FALSE;TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Smoke alarm,Exercise equipment,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Safe,Hangers,Dining table,Hair dryer,Iron,Private entrance,Rice maker;FALSE;FALSE;2;Moderate;IDR;0;0;21;4.48;4.6;4.9;4.5;4.9;4.8;4.6;982.0;1,59E+14;34.7;563454.9;0.088;0.116;2.7;43528.7;3.6;57774.4;32;90;333;365;123.0;2013351.0;41.8;684939.2;0.033;0.0;1.4;22370.6;0.0;0.0;3;0;87;90
13050370;1BR Fully Furnish - Residence 8 Senopati SCBD Area;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/789ba49d-35db-4e14-9e14-b94ce1b0daf5.jpg;47;10306188;Bianca;;;FALSE;-62.295;1.068.026;2;1;1;1.0;FALSE;TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Gym,Resort access,Mini fridge,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Sauna,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer;TRUE;;3;Firm;IDR;20;0;19;4.79;4.8;4.7;4.4;4.5;5.0;4.8;1642.0;2,70E+14;51.1;829748.0;0.088;0.0;4.5;73844.2;0.0;0.0;32;0;333;365;370.0;6056418.0;52.6;861357.2;0.078;0.0;4.1;67293.5;0.0;0.0;7;0;83;90
13069464;Wisma Shalom Guesthouse (1 person);Room in hotel;hotel_room;https://a0.muscache.com/im/pictures/d1ea438b-66c0-40a5-b50f-edc6d09fad9c.jpg?aki_policy=medium;13;30816913;;;;FALSE;-61.812;1.068.448;1;1;1;1.0;;TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Free street parking,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Bathtub,Hot water,Refrigerator,Dishes and silverware,Luggage dropoff allowed,Long term stays allowed,Outdoor furniture,Drying rack for clothing,Clothing storage;;;1;Flexible;IDR;0;0;11;4.64;4.8;5.0;4.5;5.0;4.5;4.6;833.0;1,33E+13;13.8;223984.1;0.17;0.18;2.3;36457.9;2.4;38571.4;62;20;303;365;0.0;0.0;13.9;227888.6;0.0;0.0;0.0;0.0;0.0;0.0;0;0;90;90
13235650;2BR comfort apartment Senayan/Permata Hijau area;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/50d65e7e-8d45-4333-85d8-470243550fca.jpg;18;65312822;Yovita Bunawan;;;TRUE;-62.385;1.067.682;4;2;2;1.0;FALSE;High chair,TV,Children’s books and toys,Wifi,Air conditioning,Pool,Kitchen,Children’s dinnerware,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Baby bath;TRUE;FALSE;28;Flexible;IDR;30;0;18;4.83;4.9;4.9;4.9;5.0;4.7;4.8;2258.0;3,69E+14;26.6;431238.5;0.227;0.268;6.2;101020.3;7.3;118943.3;83;55;282;365;290.0;4746921.0;22.4;366295.2;0.156;0.226;3.2;52743.6;4.7;76563.2;14;28;76;90
13245373;Spacious Apt in Strategic Central Jakarta;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/79347932-1b65-4490-8320-4a7651016732.jpg;12;7584236;Myanda;;;FALSE;-62.317;1.068.277;5;3;3;2.0;FALSE;TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Hot tub,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Washer,Smoke alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Iron;FALSE;;7;Moderate;IDR;18;0;21;4.86;4.9;5.0;4.6;5.0;5.0;4.8;708.0;1,12E+14;55.3;898309.4;0.036;0.044;1.9;30717.5;2.4;38135.7;13;71;352;365;0.0;0.0;58.6;959569.6;0.0;0.0;0.0;0.0;0.0;0.0;0;41;90;90
13275047;The LOJI @  Patra Kuningan #1;Private room in rental unit;private_room;https://a0.muscache.com/im/pictures/04b62b32-8473-4f57-8853-3f45a73c7c7e.jpg;19;49842291;Jozef;;;TRUE;-62.374;1.068.379;;;1;0.0;FALSE;TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Exercise equipment,Shower gel,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace;FALSE;FALSE;2;Flexible;IDR;8;0;36;4.81;4.9;4.9;4.9;4.9;4.9;4.8;2692.0;4,39E+14;19.1;310218.2;0.397;0.0;7.4;120286.7;0.0;0.0;145;0;220;365;533.0;8724515.0;19.7;322281.6;0.311;0.0;5.9;96939.1;0.0;0.0;28;0;62;90
